session_id,RaceEthCategory,WhiteCondition,TooFast,WhiteBlackBIATGood,WhiteBlackBIATBad,WhiteAsianBIATGood,WhiteAsianBIATBad,WhiteHispanicBIATGood,WhiteHispanicBIATBad,AsianNeg,AsianPos,BlackNeg,BlackPos,HispNeg,HispPos,WhiteNeg,WhitePos,AsianCulturalWarmth,BlackCulturalWarmth,HispCulturalWarmth,WhiteCulturalWarmth,WhiteAsianCultPref,WhiteBlackCultPref,WhiteHispCultPref,WhiteAsianExp,WhiteBlackExp,WhiteHispExp,Age,Citizenship,Residence,Ethnicity,Race,Gender,CultPrfWhite,PrefWhitePos,PrefWhiteNeg
7232486,White,Hispanic,.0078125, , , , ,1.03771705520022,1.42963677625551, , , , ,1,2,1,3, , ,3,7, , ,3, , ,1,18,us,sm,2,White,m,3,1,0
7232502,White,Black,0,.561653588142096,.708640855128788, , , , , , ,1,5, , ,1,5, ,4, ,4, ,0, , ,0, ,24,us,us,2,White,f,0,0,0
7232526,White,Hispanic,.0078125, , , , ,1.0269958146957,.999847016616758, , , , ,3,3,3,3, , ,2,2, , ,3, , ,1,20,us,us,2,White,f,3,0,0
7232535,White,Hispanic,0, , , , ,-.112111312662392,.392024804253361, , , , ,2,4,2,4, , ,5,7, , ,3, , ,2,44,us,us,2,White,m,3,0,0
7232538,White,Black,0,.360150741939385,.341067935583423, , , , , , ,2,4, , ,3,3, ,6, ,5, ,1, , ,0, ,30,us,us,3,White,m,1,-1,-1
7232543,White,Asian,0, , ,.575810256964201,.991660702366834, , ,2,2, , , , ,1,1,6, , ,5,-1, , ,1, , ,19,us,us,3,White,m,-1,-1,1
7232549,White,Black,0,.75200062569074,.66824354068974, , , , , , ,3,4, , ,3,4, ,3, ,7, ,1, , ,0, ,20,us,us,.,White,f,1,0,0
7232550,White,Asian,0, , ,-.137161356086808,-.0227313028416924, , ,2,2, , , , ,1,5,3, , ,7,2, , ,2, , ,17,us,us,3,White,m,2,3,1
7232552,White,Black,.0078125,.188460191861612,.870299197558402, , , , , , ,2,2, , ,2,4, ,2, ,6, ,2, , ,1, ,19,us,sm,2,White,f,2,2,0
7232567,White,Hispanic,.0078125, , , , ,.658469660720781,.466212198979515, , , , ,2,3,1,4, , ,4,6, , ,1, , ,0,20,us,us,2,White,f,1,1,1
7232582,White,Asian,.0546875, , ,.330694459394569,.601061106304458, , ,3,2, , , , ,3,4,1, , ,7,3, , ,1, , ,18,us,us,2,White,m,3,2,0
7232587,White,Asian,0, , ,-.147548118398677,.657378857937849, , ,3,2, , , , ,3,2,3, , ,5,1, , ,0, , ,19,us,us,2,White,m,1,0,0
7232588,White,Asian, , , ,-.188530993423843, , , ,2,4, , , , ,3,3,3, , ,6,1, , ,0, , ,52,us,sm,.,White,m,1,-1,-1
7232598,White,Black,0,-.298197821371243,.593659918349249, , , , , , ,1,5, , ,1,5, ,3, ,5, ,1, , ,0, ,24,us,sm,3,White,m,1,0,0
7232599,White,Asian,0, , ,.577508663354143,.17381974530786, , ,2,3, , , , ,2,4,3, , ,7,2, , ,1, , ,18,us,sm,2,White,f,2,1,0
7232600,White,Asian,.0078125, , ,-.108608844539876,.387088639215075, , ,1,4, , , , ,2,4,3, , ,7,1, , ,0, , ,19,us,us,2,White,f,1,0,-1
7232601,White,Asian,0, , ,-.213813805940455,.113499918103829, , ,1,4, , , , ,1,4,3, , ,7,2, , ,0, , ,21,us,sm,2,White,f,2,0,0
7232602,White,Asian,0, , ,.560104710097445,-.266411222645015, , ,1,3, , , , ,1,3,4, , ,4,0, , ,0, , ,18,us,sm,2,White,f,0,0,0
7232617,White,Black,0,.559991906044427,-.297387417945, , , , , , ,1,5, , ,1,5, ,3, ,7, ,2, , ,-1, ,20,us,sm,2,White,f,2,0,0
7232623,White,Black,.0078125,.94953469238867,-.136437667905693, , , , , , ,1,5, , ,1,5, ,7, ,7, ,0, , ,0, ,19,us,sm,2,White,f,0,0,0
7232626,White,Black,.734375,.101575198854065,-.0978296378277071, , , , , , ,1,5, , ,1,5, ,1, ,7, ,3, , ,3, ,20,us,sm,2,White,f,3,0,0
7232632,White,Hispanic,.015625, , , , ,-.0241625844549546,.293735163110621, , , , ,2,2,1,3, , ,2,7, , ,2, , ,0,19,us,us,2,White,m,2,1,1
7232650,Hispanic, ,0, , , , ,.41372102019358,-.428202720567509, , , , ,3,5,2,3, , ,1,7, , ,3, , ,0,19,us,us,1,More than one race - Other,f,3,-2,1
7232658,Black, ,.015625,-.223599237207779,-.0154437397248549, , , , , , ,2,4, , ,3,5, ,2, ,7, ,3, , ,-2, ,20,us,us,2,Black or African American,f,3,1,-1
7232688,White,Black,0,-.721438336179413,-.633339196744405, , , , , , ,1,3, , ,2,3, ,2, ,7, ,3, , ,0, ,28,us,us,2,White,f,3,0,-1
7232699,White,Black,.03125,.205614422622471,-.178254077398018, , , , , , ,1,1, , ,1,1, ,4, ,4, ,1, , ,0, ,19,us,us,2,White,m,1,0,0
7232704,White,Black,0,.498847439765991,-.213912755016514, , , , , , ,3,4, , ,3,3, ,3, ,7, ,2, , ,0, ,37,us,us,2,White,m,2,-1,0
7232718,White,Hispanic,0, , , , ,.320920958860902,.625653485476718, , , , ,1,4,2,3, , ,5,5, , ,-1, , ,0,36,us,us,2,White,m,-1,-1,-1
