session_id,Ethnicity,Race,Gender,Age,TooFast,BabyAdultBIATGood,BabyAdultBIATBad,BabyAdultExp
9374975,3,6,f,17,.0078125,.989280717232581,.755507513807601,1
9374980,2,6,f, ,0,-.0128837626731321,-.0152030598277194,0
9374986,2,6,f,20,.0234375,.653813350622777,.535872243658521,3
9375021,2,5,m,61,0,.472137102878916,.173085199443847,3
9375028,3,5,m,20,.25,-.178182265206053,.193179445843739,1
9375056,.,.,., ,0,.838330051894457,.510915475752164,2
9375113,2,6,f,45,0,1.15130649132546,-.135771738318909,0
9375127,3,6,f,19,0,.829197365466838,.215145092196446,2
9375160,2,5,f,22,0,.35200278740494,.248006251779653,3
9375171,1,5,m,31,0,.984947283383077,.490019311913821,1
9375183,2,6,m,32,0,.0592388953102957,.0631428871127104,0
9375197,2,6,m,23,.015625,-.735976342862978, , 
9375206,2,6,m,62,0,.676721894752069,.513440246644663,3
9375294,.,6,f,22,.046875,.8763669371619,.0298985021412647,3
9375301,2,6,f,49,.0078125,.390480594232246,.588522049886018,1
9375345,2,6,m,76,0,.301271981562497,.702831853263463,-1
9375350,1,9,f,25,0, ,.757293757162519, 
9375367,1,8,f,21,0,.52688170847213,.484711971269095,2
9375404,1,6,m,46,0,.292485829358076,.793223322553309,-2
9375457,3,.,f,41,0,.836421189067504, , 
9375470,2,6,m,54,0,-.119355753241495,-.0467135462738597,-3
9375566,.,6,m,27,0,.0701148648512823,.0806424118647376,2
9375585,3,6,f,22,.046875,.631953525363608,-.116589333271431,-3
9375657,.,.,m,18,.0078125,-.146961493204254,.323687981978634, 
9375662,2,.,f,23,.1171875,.230876920508961,.303423440372063,1
9375667,.,.,m,18,.015625,.685100652794086,-.133045689471005,0
9375722,2,6,m,65,.828125, ,.392602011250204,-1
9375728,.,6,f,20,.0546875,.730414777842874,.318124222346662,2
9375756,2,6,f,25,0,.669810760689153,.481002736317423,1
9375780,2,6,f,17,.1953125,.0279750281813979,-.309381036054065,2
9375816,2,6,f,21,.09375,.882177446668126,-.306653994902557,0
9375903,2,5,m,66,0,.562867898877824,.480367590611524,1
9375920,2,6,m,24,.0703125,-.803748453196524,.52349843542023,-2
9375926,2,6,m,47,0,.656685704633251,-.661786298061864,1
9375944,2,6,f,19,.03125,-.00997042472100229,.648068205834448,2
