session_id,Location,Sample,TooFast,ChristJewBIATGood,ChristJewBIATBad,ChristJewExp,ChristianNeg,ChristianPos,JewishNeg,JewishPos,ChristianCultWarmth,JewishCultWarmth,ChristJewCultPref,Age,Gender,Religion,Religiosity,PrefJewPos,PrefJewNeg,CultWarmthDifference
7419769,US,PI,.0078125,-.263930175228198,.551632591070827,0,1,5,1,5,7,4,3,17,f,1,2,0,0,-3
7419769,US,UVA,.0078125,-.263930175228198,.551632591070827,0,1,5,1,5,7,4,-3,17,f,1,2,0,0,-3
7420780,US,UVA,0,.814572286290655,.511568422881062,1,2,3,2,4,6,5,-2,19,m,1,2,1,0,-1
7420855,US,UVA,0,.742731457977141,-.557957049037204,1,1,4,1,5,7,5,2,20,f,4,2,1,0,-2
7421176,US,PI,0,.903668943383126,.299300474347181,2,1,3,1,4,6,6,-2,27,m,4,2,1,0,0
7421468,US,PI,0,.565112342484491,.794513412430538,2,2,3,2,4,7,3,-1,24,f,5,3,1,0,-4
7422828,US,PI,0,-.569042885321325,.155630466704284,0,2,3,2,5,6,3,-2,18,m,4,3,2,0,-3
7423233,US,PI,0,.736805095219548,.245173927866268,0,2,4,2,5,4,4,-2,26,f,4,1,1,0,0
7426082,US,PI,0,.302101766282444,.532316258653257,2,2,4,2,4,7,6,-3,21,f,2,3,0,0,-1
7432447,US,PI,0,.350560804148636,.270736684870413,0,1,4,3,3,7,4,-2,24,f,4,1,-1,-2,-3
7433013,US,PI,0,-.128362072097476,.541699463548985,1,1,3,1,4,7,3,-2,26,f,4,2,1,0,-4
7434608,US,UVA,.0078125,.0892222705130164,-.166099469744537,1,1,3,1,4,5,5,-2,20,f,4,2,1,0,0
7434669,US,UVA,0,.644671725947673,-.382446254865924,1,3,3,3,3,5,3,-1,19,m,3,2,0,0,-2
7434987,US,PI,.0078125,.828385791460457,1.09992484386378,3,1,3,1,5,7,5,-3,19,f,4,3,2,0,-2
7435267,US,PI,0,.545758183367676,-.375020622960258,0,1,3,1,5,6,6,-1,26,m,4,1,2,0,0
7435534,US,PI,0,.485291774079728,-.406947049411367,1,3,2,3,4,7,3,-3,20,m,5,1,2,0,-4
