session_id,Ethnicity,Race,Gender,Age,TooFast,CelebrityBIATGood,CelebrityBIATBad,CelebrityExp
9390001,1,6,m,52,.0078125,.437746947556687,-.369557662058058,1
9390065,2,6,f,18,0,-.0669547532432132,-.229171775987548,-1
9390111,1,9,f,19,0,.745400572936757,-.487514994919249,-2
9390227,.,2,f,24,.125,.403377437118751,.44902739360332,0
9390266,2,6,f,42,0,.65207752064869,-.154142862415975,-2
9390442,2,3,m,68,0,.71477940926891,.532428420463626,3
9390454,2,6,f,36,0,-.358856730901166,.44458465924883,-1
9390487,2,6,m,65, , , , 
9390509,2,6,f,51,0,.762305947036425,-.386773820346692,-2
9390556,2,6,m,19,0,.0215943867476362, ,0
9390612,2,6,f,39,0,.290567564622216,.478547740742569,0
9390614,2,6,f,46,0,.714389043107262,.518531020768189,1
9390632,1,7,f,38,0,-.405568203543641,.0678147952901571,0
9390641,2,6,m,19, , , , 
9390667,2,5,f,43,0,.724031711847564,.630600430214293,0
9390854,2,5,f,33,0,.713031661766926,.267066624497236,0
9390951,2,6,f,36,0,-.147034534140505,-.0912120872916299,-3
9390958,2,6,f,30,0,.0306648072011584,-.216846771821497,0
9391014,2,5,f,22,0,.20985180227597,-.138457848897375,1
9391017,2,5,f,40,0,.947322289709308,.751389109547292, 
9391025,2,.,m,48,0,.317966640067017,.047652077738117,1
9391069,2,5,f,18,.0078125,.989738671100234,.398350645178988,0
9391207,2,6,f,51,0,.595591077735982,.355894403795635,-1
9391307,2,6,m,39,.0078125,-.320159590279752,.238617766167228,0
9391309,2,6,f,23,0,.457535442650328,.415540849783961,0
9391421,2,6,f,33,0,.140094082069414,.612792282423388,1
9391466,2,6,f,58,0,.46839487386062,.291061491102109,0
9391622,2,6,f,25,0,.73950464032443,-.235712211989731,1
9391663,2,6,f,38,0,.351374417036938,.0661721676303335,0
9391723,2,5,f,17,0,.264002046211983,-.477229979128808,-2
9391795,.,6,m,18,.15625,-.964014808416825,.254683903251555,1
9391913,2,6,f,20,.03125,1.34691999845062,.905212390509781,1
9391915,2,6,f,51,0,-.0651606673378322,.631879331693017,-3
9391973,2,6,f,40,0,1.12628459041733,.104218961880342,-2
9392050,3,1,m,17,.015625,.462545763287322,.876120473326507,0
