session_id,TooFast,StraightGayBIATGood,StraightGayBIATBad,StraightGayExp,Age,Citizenship,Ethnicity,Race,Gender,SexualOrientation,TempGay,TempStraight,ThermDiff
2581668,.0078125,-.281532083326368,.70424038785341,0,19,1,1,Other or Unknown,2,1,3,3,0
2581671,0,.579852787455077,.774793434058478,-1,21,8,2,East Asian,1,1,3,0,-3
2581681,0,.615611549522261,.908864680614785,2,19,1,2,Biracial,2,1,0,5,5
2581690,0,-.490474395464425,.686193618954527,0,19,1,2,White or Caucasian,2,1,2,3,1
2581707,.8828125,2.77555756156289E-17,-.716510728721717,0,18,1,1,White or Caucasian,2,1,2,2,0
2581708,.046875,-.270819847330201,.808702038293456,2,18,1,2,East Asian,2,1,2,5,3
2581732,0,.178350753062038,.441546244050225,2,18,1,2,White or Caucasian,2,1,2,4,2
2581750,0,.909031284862405,.0229414977163492,0,19,1,2,White or Caucasian,1,1,-1,3,4
2581761,0,.533761815516149,.721238429738984,1,18,1,2,White or Caucasian,2,1,3,5,2
2581765,0,.812731432885245,1.38878899197825,3,19,1,1,Other or Unknown,1,1,0,5,5
2581766,0,.285828571762238,.0698518846160973,0,18,1,2,White or Caucasian,1,1,4,4,0
2581769,0,.601740772244716,.729603731379168,2,19,83,2,White or Caucasian,2,1,2,4,2
2581809,0,.146498761255382,.502035604814812,0,19,1,2,White or Caucasian,1,1,5,5,0
2581820,.3203125,.265100813181242,.712118618490611,0,19,1,2,White or Caucasian,2,1,0,4,4
2581863,.1640625,.269494018684738,.368373235371399,0,18,1,2,White or Caucasian,1,1,3,3,0
2581864,.2578125,.713557350693993,.212127824078194,2,19,1,2,South Asian,1,1,5,5,0
2581873,0,.541140869060677,.274580611974462,2,18,1,2,White or Caucasian,1,1,3,4,1
2581874,.078125,.129262369239293,.641008268804605,0,19,1,2,White or Caucasian,1,1,4,4,0
2581875,0,.128533478559546,.64472025776265,1,18,1,2,White or Caucasian,1,1,5,5,0
2581877,0,.483890821116436,.493807347356267,-1,21,37,2,East Asian,1,1,0,0,0
2581880,0,-.179132130543763,.366584146907161,0,18,1,2,White or Caucasian,1,1,4,4,0
2581882,0,.0449008469656633,-.0646108505595754,0,18,1,2,East Asian,2,1,5,5,0
2581886,0,-.0655927667422365,.426637248613547,1,19,1,3,White or Caucasian,1,1,3,4,1
2581920,0,.802425317328436,.859457707191962,2,20,1,2,Black or African,2,1,-1,4,5
2581927,.03125,.458328143488062,.784818689737951,0,19,1,2,White or Caucasian,2,1,5,5,0
2581951,0,-.439316737343842,.485388000741243,0,18,1,2,White or Caucasian,2,1,5,5,0
2581953,0,.629564081418002,.366485325586636,1,19,1,2,White or Caucasian,2,1,3,4,1
2582002,0,.391680568724412,.669135817990719,-1,18,1,2,White or Caucasian,1,1,4,5,1
2582006,0,.64947769726773,.0227874826850964,2,21,1,2,White or Caucasian,2,1,-1,3,4
2582014,0,1.33354803522087,1.18138277635921,0,19,58,2,Black or African,2,1,2,2,0
2582021,0,.491342030560303,.604093689852926,1,19,1,2,Biracial,2,1,1,3,2
2582084,0,.370127992884179,.276004420239544,0,18,1,2,East Asian,1,1,3,3,0
2582092,0,-.396688376663242,.376593421577174,0,19,1,2,White or Caucasian,1,1,0,0,0
2582398,0,.984889597554112,.574163270403117,3,18,1,2,White or Caucasian,1,1,2,5,3
2582448,0,.0208169908491011,.902562699625877,0,18,1,1,Biracial,1,1,1,2,1
2582459,0,-.125584228583964,.120813914229833,0,18,1,2,White or Caucasian,1,1,5,5,0
2582497,.828125,.425485425074844,-.105595273837612,0,18,188,2,Black or African,1,1,5,5,0
2582514,0,.215335022427855,.479599735744526,1,21,1,2,White or Caucasian,2,1,3,4,1
2582518,.0078125,.571274708451275,.51907677404978,1,18,1,3,White or Caucasian,1,1,4,4,0
2582609,.109375,.216703059182409,-.57679351076128,0,18,1,3,White or Caucasian,2,1,2,4,2
2582743,.0390625,-.0923713163010036,.799698504897118,0,18,1,2,White or Caucasian,1,1,2,4,2
2583064,0,1.00928452506329,.297128246281425,2,21,1,2,South Asian,1,1,-1,5,6
2583095,0,.641060854313713,.42746733010629,3,19,1,2,White or Caucasian,2,1,-4,3,7
2583296,0,-.26211650583054,.478257458652575,0,20,1,2,White or Caucasian,2,1,5,5,0
2583349,0,.184008683690173,.55790120535689,1,21,188,2,White or Caucasian,1,1,-2,0,2
2583427,.25,-.278462815133442,-.723693525888316,2,19,92,2,East Asian,2,1,4,4,0
2583432,0,.534970153331947,-.295953217105059,2,19,1,2,White or Caucasian,1,1,4,4,0
2583528,0,.200504264673925,.718428122884397,0,19,1,2,White or Caucasian,1,1,5,5,0
2583752,0,.0133091124216012,-.634732462479827,1,21,1,2,White or Caucasian,1,1,3,3,0
2583804,.046875,-.322448648784111,.710946995083534,3,19,1,2,White or Caucasian,1,1,-2,5,7
2583875,0,.115565561259791,.707231247996238,0,18,1,2,White or Caucasian,2,1,0,0,0
2583893,.0078125,.220916243677322,.429165204862513,0,18,1,2,Other or Unknown,1,1,0,1,1
2584033,0,.515522157630458,.0315817773685852,0,19,1,2,White or Caucasian,2,1,4,4,0
2584042,0,-.569032173201505,.536275839415091,0,18,1,2,South Asian,1,1,4,4,0
2584108,0,.0352667987982939,.256765459500918,0,19,1,2,Black or African,1,1,0,0,0
2585227,0,.368062019119582,.407382083288539,1,19,1,2,East Asian,2,1,0,0,0
2585712,0,.778486385865027,1.0753232324108,3,20,1,2,Black or African,2,1,4,4,0
2586645,0,.24965203447295,.238712177262183,0,19,1,2,White or Caucasian,1,1,3,4,1
2587471,0,.719425654985536,1.01218834141633,2,18,1,2,South Asian,1,1,-1,5,6
2588000,.859375,.165672864407031,.219030675157853,0,19,92,3,East Asian,1,1,0,0,0
2588039,0,.220264766270421,.555744104253799,2,18,1,2,White or Caucasian,2,1,2,3,1
2588064,0,.401620907271305,1.07278781246124,0,19,37,3,East Asian,1,1,3,4,1
