session_id,ErrorPct,TooFast,Condition,ConditionNum,Age,Ethnicity,Gender,Race,WhiteAsianBIAT,WhiteHispBIAT,WhiteBlackBIAT,AsianHispBIAT,AsianBlackBIAT,HispBlackBIAT,WhiteImpAgg,HispImpAgg,AsianImpAgg,BlackImpAgg,RaceFocal,WhiteAsianExp,WhiteHispExp,WhiteBlackExp,AsianHispExp,AsianBlackExp,HispBlackExp,WhiteExpAgg,BlackExpAgg,AsianExpAgg,HispExpAgg,CondxImpWB,CondxImpWH,CondxImpWA,WhiteMinorityBIAT,WhiteMinorityExp
2534097,.0677083333333333,0,good,1,18,2,1,3*6,.62366030646045,-.632661404481596,-.647960740413039,-.0554660966295666,.00101643873948601,-.444465085899029,-.218987279478062,.081220805070711,-.22603665478351,.363803129190861, ,1,2,-1,0,-1,-1,.666666666666667,1,-.666666666666667,-1,-.647960740413039,-.632661404481596,.62366030646045, , 
2534099,.0572916666666667,.015625,good,1,18,2,1,6,.634751456170165,-.808866339797091,.315664991755285,.0215821633925618,-.403896379019365,.504904680020419,.0471833693761199,.430729618808316,-.339021890598989,-.138891097585446,White,1,2,2,-2,0,1,1.66666666666667,-.333333333333333,.333333333333333,-1.66666666666667,.315664991755285,-.808866339797091,.634751456170165, , 
2534107,.125,0,bad,-1,18,2,2,6,-.055920761582152,.66081834035258,-.0291611561039066,-.121142236477019,.685602647831814,.867383120603682,.191912140888841,.109235672242707,.206793724312316,-.507941537443863,White,0,0,0,0,0,0,0,0,0,0,.0291611561039066,-.66081834035258,.055920761582152, , 
2536756,.104166666666667,0,bad,-1,18,3,1,1,-.447485896838784,-.123637898174346,.283216496104272,-.0674281463527464,-.0755158538554611,-.292256701287045,-.0959690996362858,-.0337302189199842,.101513965543525,.0281853530127446, ,1,1,1,1,-1,-1,1,.333333333333333,-.333333333333333,-1,-.283216496104272,.123637898174346,.447485896838784, , 
2536757,.0677083333333333,.00520833333333333,bad,-1,19,2,1,6,.310792843392373,-.0220194084515926,-.511815734445977,.00174484111426121,.994083287439557,-.273008168786623,-.0743474331683986,-.0842445338164304,.228345095053815,-.069753128068986,White,0,0,0,0,0,0,0,0,0,0,.511815734445977,.0220194084515926,-.310792843392373, , 
2536759,.0677083333333333,.0104166666666667,bad,-1,18,2,1,6,.623610487264116,.878437893582125,.638441311636586,.801602973072669,.137676236277355,.0770497372302577,.713496564160942,-.534330376474845,.105222907361969,-.284389095048066,White,1,1,1,0,0,0,1,-.333333333333333,-.333333333333333,-.333333333333333,-.638441311636586,-.878437893582125,-.623610487264116, , 
2536848,.0677083333333333,0,bad,-1,18,2,1,6,.908871415838305,.14488688248926,.188534168151767,-.325653171353793,.205642610229086,.794231379284072,.414097488826444,.324999222716202,-.342960658987671,-.396136052554975,White,0,0,0,0,0,0,0,0,0,0,-.188534168151767,-.14488688248926,-.908871415838305, , 
2536850,.0729166666666667,.015625,good,1,18,2,1,6,-.579921337052568,.372031626617477,-.0857756112232331,-.621628379310892,.0697342049285832,-.397450692103351,-.0978884405527746,-.0492846464699786,.00934238755675298,.137830699466,White,1,2,1,-2,0,2,1.33333333333333,.333333333333333,.333333333333333,-2,-.0857756112232331,.372031626617477,-.579921337052568, , 
2536851,.135416666666667,0,bad,-1,19,3,2,6,-.304862227901774,.509732274772829,.270879346235103,.0855598105764037,-.533325640083171,-.189003704247306,.158583131035386,-.261431929865513,-.0476345338683311,.150483332698458,White,0,0,0,0,0,0,0,0,0,0,-.270879346235103,-.509732274772829,.304862227901774, , 
2536938,.0625,.00520833333333333,good,1,18,2,1,6,-.252107603988691,.299236370651192,1.21390761685613,1.08998128662317,-.0204080999564653,.529765764403946,.420345461172878,-.286483964290139,.440560263551799,-.574421760434538,White,0,0,0,0,0,0,0,0,0,0,1.21390761685613,.299236370651192,-.252107603988691, , 
2536953,.015625,0,bad,-1,25,1,2,6,1.23099110208796,.59270806935115,-.128457727096079,-1.18694087528947,.260815810901358,.177606493031472,.565080481447676,.257279766323263,-.719038722158689,-.10332152561225,Hisp,0,0,0,0,0,0,0,0,0,0,.128457727096079,-.59270806935115,-1.23099110208796,.59270806935115,0
